Area,Bedrooms,Age,Location,Price
2163,1,35.0,West,7380000.0
2029,1,23.0,North,8266000.0
2538,3,14.0,South,9448000.0
3802,5,28.0,North,15614000.0
2737,4,7.0,North,11286000.0
1806,1,4.0,South,6688000.0
4529,4,28.0,North,18632000.0
3175,1,3.0,West,10819000.0
1782,1,11.0,North,7079000.0
1209,1,1.0,West,4470000.0
4913,5,26.0,West,16558000.0
4248,2,30.0,West,13918000.0
1163,4,35.0,East,5054000.0
2498,5,35.0,North,9995000.0
3945,5,25.0,South,14433000.0
4243,5,26.0,South,15371000.0
1995,5,4.0,North,8686000.0
3804,5,19.0,East,14982000.0
4263,3,10.0,East,16331000.0
2353,4,9.0,West,8618000.0
1791,5,,North,8128000.0
4081,4,37.0,North,16618000.0
3957,3,5.0,South,14315000.0
2136,3,7.0,North,8746000.0
4196,4,22.0,East,16551000.0
3499,1,25.0,North,14267000.0
3652,2,11.0,South,12935000.0
1198,1,25.0,West,3939000.0
2660,1,12.0,South,9345000.0
4597,1,39.0,South,15604000.0
1354,5,17.0,West,5379000.0
3974,3,24.0,South,14014000.0
2207,1,,South,7466000.0
3277,3,39.0,North,13314000.0
2233,4,11.0,North,9806000.0
4010,2,35.0,West,13240000.0
702,4,3.0,North,3039000.0
3755,4,4.0,North,15563000.0
4718,5,36.0,South,17060000.0
4996,2,7.0,East,19621000.0
1266,4,27.0,North,5247000.0
4889,4,30.0,East,18589000.0
2827,2,8.0,North,11302000.0
3431,2,28.0,North,13521000.0
697,4,13.0,West,3018000.0
2430,2,39.0,West,8352000.0
4082,4,21.0,West,14017000.0
1108,4,10.0,East,4649000.0
3772,5,22.0,South,14134000.0
1647,1,0.0,North,6842000.0
4782,4,36.0,North,19857000.0
3897,3,20.0,North,15900000.0
3011,1,25.0,East,11337000.0
2294,1,35.0,West,7269000.0
1159,1,22.0,South,4156000.0
3311,5,0.0,East,13367000.0
1869,4,39.0,West,6318000.0
2486,5,14.0,East,9896000.0
646,4,20.0,South,3024000.0
3719,5,8.0,West,13392000.0
3411,5,8.0,East,13588000.0
2234,3,9.0,South,8211000.0
2343,5,25.0,North,10155000.0
988,2,34.0,South,3516000.0
3476,3,24.0,North,13903000.0
2459,5,25.0,East,9981000.0
2885,1,10.0,West,9262000.0
3419,2,37.0,West,11233000.0
2302,2,1.0,East,9126000.0
4561,2,6.0,West,15519000.0
3869,3,17.0,West,13009000.0
762,5,26.0,North,3585000.0
1123,5,33.0,East,4642000.0
1516,1,26.0,South,5227000.0
4143,1,16.0,North,16695000.0
2549,2,23.0,East,9905000.0
4223,1,24.0,North,16830000.0
3608,3,6.0,South,13105000.0
4590,5,5.0,South,16876000.0
2556,2,23.0,East,9830000.0
3670,1,32.0,South,12687000.0
2182,3,28.0,North,9084000.0
2755,3,21.0,South,10075000.0
1654,1,25.0,North,6793000.0
4999,5,27.0,North,21153000.0
3691,1,20.0,South,12710000.0
2196,2,6.0,East,8478000.0
4491,1,16.0,West,14647000.0
2148,3,19.0,South,8002000.0
1945,1,19.0,North,7749000.0
4699,5,21.0,North,19630000.0
4423,4,27.0,South,15744000.0
753,1,39.0,East,2601000.0
3683,5,6.0,East,14944000.0
3057,5,0.0,North,13327000.0
598,3,31.0,North,2614000.0
2700,5,12.0,East,11078000.0
3461,5,29.0,West,12150000.0
4933,5,22.0,South,17761000.0
4277,5,18.0,North,17574000.0
3369,2,31.0,North,13413000.0
3734,2,29.0,East,13898000.0
4291,3,28.0,South,15477000.0
1456,1,28.0,East,5713000.0
4567,5,29.0,South,16820000.0
660,1,15.0,South,1936000.0
4993,1,39.0,South,17528000.0
1800,3,18.0,North,8106000.0
4487,5,17.0,West,15714000.0
2027,5,0.0,East,8007000.0
1718,4,13.0,West,6520000.0
4996,1,1.0,East,19047000.0
3604,1,27.0,South,12502000.0
3235,2,29.0,North,13203000.0
1454,4,,West,4924000.0
3946,2,3.0,North,16201000.0
1545,2,0.0,East,6514000.0
2193,2,7.0,North,9251000.0
3936,3,28.0,North,16116000.0
1062,3,38.0,West,3687000.0
2985,2,2.0,South,10495000.0
3854,4,31.0,North,15883000.0
725,1,9.0,South,2289000.0
1459,4,9.0,East,6306000.0
3567,5,18.0,North,14551000.0
1315,3,33.0,West,4712000.0
3620,1,32.0,East,13781000.0
516,1,,East,2207000.0
1743,5,27.0,West,6319000.0
2705,5,31.0,North,11676000.0
3024,2,6.0,North,12425000.0
1569,3,28.0,East,5919000.0
3944,3,7.0,North,16680000.0
3065,4,0.0,South,11308000.0
1560,2,2.0,West,5189000.0
2827,2,23.0,South,9917000.0
3920,2,22.0,North,15822000.0
801,2,,East,3391000.0
4776,3,36.0,West,16480000.0
1106,3,2.0,North,5071000.0
3670,2,32.0,North,14870000.0
1199,4,27.0,East,5477000.0
1639,1,7.0,East,6508000.0
690,1,33.0,South,2352000.0
2800,4,34.0,West,9531000.0
1480,2,31.0,West,5030000.0
3475,3,,East,13408000.0
1684,1,13.0,South,5958000.0
3827,5,31.0,West,13451000.0
3894,5,15.0,East,15283000.0
627,4,3.0,North,3304000.0
2565,2,36.0,West,8720000.0
2316,1,20.0,South,7964000.0
1069,2,,South,3773000.0
2395,1,30.0,South,8262000.0
3233,4,17.0,North,13440000.0
4363,4,6.0,West,15250000.0
4514,5,9.0,West,15463000.0
3401,2,,North,13995000.0
2186,5,32.0,West,8221000.0
3509,2,22.0,North,14361000.0
654,5,20.0,North,3444000.0
3037,3,18.0,North,12843000.0
1909,3,18.0,South,6895000.0
4557,3,35.0,West,15108000.0
1284,3,28.0,North,5469000.0
3675,1,17.0,West,12283000.0
4841,3,1.0,South,17062000.0
3306,4,0.0,North,14083000.0
1037,4,4.0,East,4764000.0
2341,1,19.0,South,8009000.0
2955,3,,East,11664000.0
1024,3,1.0,West,3994000.0
3450,3,2.0,West,11995000.0
4631,5,22.0,South,16919000.0
4615,2,11.0,West,15500000.0
2868,5,19.0,East,11243000.0
4347,2,4.0,North,17702000.0
4995,3,36.0,North,20156000.0
3201,3,37.0,North,13043000.0
1471,5,29.0,South,5885000.0
1666,5,,West,5942000.0
3274,2,33.0,East,12446000.0
2482,4,34.0,West,8362000.0
1353,2,21.0,West,4484000.0
4646,5,23.0,West,16092000.0
4236,5,16.0,North,17492000.0
4269,1,9.0,East,16380000.0
1074,5,29.0,East,4327000.0
3761,1,22.0,West,12607000.0
1648,4,31.0,North,6682000.0
2215,2,16.0,North,8971000.0
4354,2,16.0,East,17054000.0
2991,1,13.0,North,12485000.0
3160,2,8.0,North,12896000.0
3624,5,39.0,North,15180000.0
3551,3,1.0,South,13111000.0
504,1,24.0,West,1765000.0
1376,2,38.0,East,5138000.0
1491,1,8.0,East,5567000.0
4642,1,21.0,South,16403000.0
4864,3,3.0,West,16792000.0
4965,5,25.0,East,19732000.0
1135,1,28.0,North,4095000.0
2193,2,33.0,East,8058000.0
2182,4,22.0,North,9537000.0
619,1,36.0,South,1718000.0
1330,1,10.0,North,5719000.0
4175,3,5.0,East,16178000.0
1869,5,17.0,East,7615000.0
1240,4,20.0,East,5207000.0
616,2,35.0,South,1907000.0
3338,4,37.0,South,12152000.0
1650,2,33.0,West,5841000.0
2431,5,16.0,East,10049000.0
1512,2,36.0,North,6043000.0
2164,3,24.0,South,7524000.0
1581,3,37.0,East,5819000.0
1012,3,11.0,East,3929000.0
3349,3,22.0,South,11993000.0
1059,4,21.0,West,3953000.0
4172,5,20.0,South,15366000.0
3843,2,26.0,South,13183000.0
4570,2,30.0,North,18765000.0
1970,3,5.0,North,8560000.0
1080,3,26.0,West,3759000.0
2794,1,39.0,East,10129000.0
3647,5,33.0,South,13500000.0
4749,4,11.0,West,16220000.0
2179,2,6.0,North,9056000.0
4006,1,9.0,South,14176000.0
3244,1,16.0,East,12089000.0
3856,2,25.0,North,15570000.0
4545,4,20.0,North,18999000.0
1743,1,27.0,North,7115000.0
3618,1,1.0,West,12312000.0
2641,5,0.0,East,10543000.0
3559,4,35.0,South,12729000.0
3459,1,25.0,West,11378000.0
2765,4,28.0,West,9632000.0
2979,2,20.0,West,10102000.0
2135,3,10.0,North,9055000.0
2257,1,39.0,East,8889000.0
4952,5,10.0,West,17047000.0
2570,2,35.0,South,8933000.0
3349,4,38.0,East,12729000.0
3751,2,39.0,South,12809000.0
4230,1,34.0,East,15594000.0
2989,4,33.0,South,10654000.0
2131,3,23.0,North,9184000.0
3316,2,21.0,West,11159000.0
1515,1,4.0,South,5459000.0
1848,5,32.0,East,7498000.0
3587,4,35.0,West,12300000.0
3339,2,19.0,West,11509000.0
835,2,18.0,East,2894000.0
1395,3,34.0,South,5304000.0
4046,3,16.0,North,16077000.0
1351,5,33.0,North,6003000.0
2187,5,8.0,South,8779000.0
2431,1,25.0,West,8165000.0
4246,1,1.0,West,14324000.0
2927,5,8.0,West,10764000.0
2068,5,8.0,West,7394000.0
4500,4,39.0,South,16125000.0
3238,3,16.0,West,11182000.0
3998,1,0.0,East,15162000.0
4413,3,24.0,West,14836000.0
1566,3,39.0,North,6337000.0
4880,5,24.0,West,16773000.0
2944,4,38.0,South,10709000.0
4607,2,34.0,North,18604000.0
3873,4,2.0,South,14281000.0
4469,4,36.0,South,15560000.0
3046,3,29.0,North,12461000.0
1253,4,37.0,South,4485000.0
2582,1,33.0,South,8983000.0
3274,3,11.0,West,11284000.0
3396,1,18.0,East,12818000.0
