Date,Product,Category,Region,Units,Amount
4/11/2025,Charger,Peripherals,East,5,45357
5/11/2025,Charger,Accessories,North,1,10642
9/14/2025,Keyboard,Peripherals,West,17,48855
1/5/2025,Printer,Electronics,South,19,10366
8/6/2025,Keyboard,Peripherals,South,14,5031
9/12/2025,Mouse,Peripherals,South,12,45954
12/25/2025,Charger,Peripherals,North,10,38598
10/10/2025,Monitor,Peripherals,West,18,38778
7/26/2025,Tablet,Accessories,West,11,28638
1/15/2025,Speaker,Electronics,North,2,27565
12/12/2025,Printer,Peripherals,West,18,30456
2/11/2025,Laptop,Accessories,North,7,42232
6/28/2025,Keyboard,Electronics,North,15,39761
3/4/2025,Speaker,Electronics,North,11,11259
12/18/2025,Laptop,Electronics,South,18,5939
8/19/2025,Speaker,Electronics,West,12,47741
8/29/2025,Tablet,Peripherals,North,6,43033
2/21/2025,Laptop,Peripherals,West,13,28770
4/6/2025,Webcam,Accessories,South,16,13779
8/10/2025,Headphones,Accessories,North,18,39779
8/19/2025,Webcam,Accessories,East,10,44751
8/25/2025,Charger,Electronics,South,8,24388
5/23/2025,Headphones,Electronics,East,18,18130
6/20/2025,Webcam,Peripherals,West,1,35644
1/29/2025,Headphones,Electronics,West,8,31682
2/5/2025,Headphones,Electronics,South,6,26038
1/13/2025,Monitor,Electronics,West,5,12324
6/9/2025,Keyboard,Accessories,East,15,32625
11/23/2025,Keyboard,Accessories,North,15,7479
7/6/2025,Monitor,Peripherals,North,2,26689
8/31/2025,Speaker,Electronics,North,1,43100
3/27/2025,Mouse,Electronics,South,11,13004
10/11/2025,Speaker,Peripherals,West,10,21169
3/7/2025,Laptop,Electronics,East,18,7410
6/19/2025,Laptop,Electronics,West,18,47357
2/14/2025,Headphones,Accessories,West,17,35464
3/3/2025,Webcam,Peripherals,West,8,20631
5/14/2025,Webcam,Peripherals,North,15,25727
10/11/2025,Keyboard,Peripherals,East,8,6478
1/28/2025,Printer,Peripherals,East,17,22491
4/18/2025,Speaker,Accessories,West,12,17653
2/13/2025,Charger,Accessories,North,8,34048
12/6/2025,Tablet,Electronics,North,14,43176
10/13/2025,Webcam,Electronics,East,4,39571
11/27/2025,Tablet,Electronics,North,1,47954
5/8/2025,Headphones,Electronics,North,1,4483
12/14/2025,Tablet,Accessories,North,19,10003
8/19/2025,Charger,Peripherals,South,16,30421
7/9/2025,Monitor,Accessories,West,14,17405
8/13/2025,Charger,Electronics,East,16,46338
10/10/2025,Tablet,Accessories,East,5,24453
5/1/2025,Charger,Peripherals,South,9,27306
4/26/2025,Mouse,Peripherals,West,2,45500
8/21/2025,Headphones,Accessories,East,18,22668
9/16/2025,Speaker,Accessories,North,6,5083
12/25/2025,Monitor,Accessories,East,9,39214
7/17/2025,Webcam,Electronics,North,1,49645
5/17/2025,Laptop,Accessories,South,9,40396
11/14/2025,Speaker,Accessories,North,16,12389
6/14/2025,Laptop,Accessories,East,13,27913
8/13/2025,Headphones,Peripherals,East,9,12775
11/3/2025,Monitor,Peripherals,East,13,2961
8/22/2025,Keyboard,Electronics,South,9,14791
6/21/2025,Webcam,Electronics,South,11,47304
6/1/2025,Mouse,Peripherals,West,4,11935
11/11/2025,Keyboard,Peripherals,East,2,28435
6/9/2025,Headphones,Peripherals,North,6,33953
4/6/2025,Speaker,Accessories,South,14,19044
8/21/2025,Mouse,Accessories,East,4,12758
6/29/2025,Charger,Peripherals,East,6,31341
4/23/2025,Tablet,Accessories,South,19,49258
11/14/2025,Mouse,Accessories,West,6,49690
2/21/2025,Headphones,Electronics,South,2,11236
9/25/2025,Printer,Peripherals,South,18,38143
10/22/2025,Tablet,Peripherals,North,13,44450
4/23/2025,Laptop,Accessories,North,9,35464
4/11/2025,Webcam,Peripherals,West,19,28544
4/23/2025,Laptop,Electronics,East,13,40433
3/22/2025,Mouse,Electronics,South,11,16497
7/6/2025,Laptop,Electronics,West,1,14715
4/23/2025,Headphones,Peripherals,North,7,33569
1/2/2025,Charger,Peripherals,South,15,24411
5/10/2025,Speaker,Peripherals,East,1,17530
8/8/2025,Webcam,Peripherals,North,12,29834
2/23/2025,Laptop,Peripherals,North,7,15071
12/9/2025,Laptop,Electronics,North,15,43219
8/12/2025,Mouse,Accessories,West,19,29427
8/13/2025,Speaker,Electronics,East,1,21214
5/6/2025,Keyboard,Peripherals,South,17,44041
5/10/2025,Laptop,Electronics,West,17,23887
2/22/2025,Headphones,Peripherals,West,3,28944
6/21/2025,Printer,Peripherals,West,12,49408
8/6/2025,Webcam,Electronics,North,6,20421
6/9/2025,Laptop,Peripherals,East,11,13557
7/17/2025,Headphones,Accessories,West,3,45768
9/4/2025,Headphones,Peripherals,South,8,25358
11/20/2025,Webcam,Accessories,East,14,49189
7/22/2025,Keyboard,Accessories,South,14,45138
7/3/2025,Headphones,Peripherals,East,10,26562
5/3/2025,Printer,Electronics,South,2,37350
9/12/2025,Headphones,Accessories,North,14,46986
10/21/2025,Headphones,Electronics,West,9,21067
10/7/2025,Headphones,Accessories,South,3,30239
11/21/2025,Charger,Peripherals,East,8,43785
4/8/2025,Charger,Peripherals,West,16,4254
7/17/2025,Keyboard,Accessories,West,2,27544
8/28/2025,Laptop,Peripherals,East,6,2224
5/24/2025,Headphones,Accessories,South,12,1876
4/7/2025,Speaker,Peripherals,North,5,
7/20/2025,Laptop,Electronics,North,2,9394
5/4/2025,Keyboard,Peripherals,South,16,18537
7/6/2025,Monitor,Electronics,West,5,18950
11/22/2025,Laptop,Peripherals,West,15,16906
12/15/2025,Laptop,Electronics,West,12,30225
9/16/2025,Tablet,Peripherals,West,4,6426
5/28/2025,Mouse,Electronics,South,15,39519
9/9/2025,Tablet,Accessories,West,11,9996
12/12/2025,Printer,Accessories,East,16,36568
5/27/2025,Charger,Electronics,West,6,30306
5/28/2025,Charger,Peripherals,North,14,23163
12/18/2025,Mouse,Electronics,West,18,41821
7/18/2025,Webcam,Peripherals,South,12,36995
11/4/2025,Webcam,Accessories,North,11,23156
5/8/2025,Keyboard,Peripherals,South,13,26360
2/8/2025,Mouse,Accessories,South,11,17332
12/4/2025,Laptop,Peripherals,North,16,39287
12/26/2025,Webcam,Peripherals,South,15,48731
5/9/2025,Headphones,Peripherals,South,15,22227
9/24/2025,Speaker,Electronics,West,4,43315
5/31/2025,Laptop,Electronics,East,11,30045
10/25/2025,Printer,Accessories,South,19,45022
4/9/2025,Headphones,Accessories,South,15,3020
9/20/2025,Headphones,Electronics,South,4,3581
9/9/2025,Mouse,Accessories,West,13,34696
5/24/2025,Keyboard,Electronics,East,19,37235
12/12/2025,Printer,Peripherals,North,2,39713
4/22/2025,Webcam,Accessories,West,14,15066
3/1/2025,Mouse,Accessories,West,4,14542
1/2/2025,Webcam,Electronics,East,16,25998
10/31/2025,Mouse,Accessories,East,14,11829
9/11/2025,Mouse,Accessories,West,15,32156
5/20/2025,Mouse,Peripherals,North,3,2659
2/6/2025,Keyboard,Accessories,West,8,38400
6/9/2025,Mouse,Peripherals,East,16,19863
1/9/2025,Monitor,Electronics,North,10,48201
8/21/2025,Speaker,Accessories,East,4,43741
4/9/2025,Webcam,Peripherals,North,18,19533
5/27/2025,Laptop,Electronics,South,2,11305
10/31/2025,Tablet,Accessories,East,17,36351
7/27/2025,Printer,Electronics,East,13,27332
5/11/2025,Charger,Accessories,West,4,14444
6/1/2025,Keyboard,Electronics,East,11,20373
2/23/2025,Laptop,Electronics,East,7,40872
4/30/2025,Headphones,Peripherals,South,12,24428
6/10/2025,Monitor,Electronics,East,10,15879
4/26/2025,Charger,Accessories,South,7,37251
3/16/2025,Tablet,Accessories,South,13,35046
4/23/2025,Laptop,Peripherals,South,7,24786
4/14/2025,Charger,Accessories,South,17,5610
12/6/2025,Laptop,Accessories,North,10,12587
9/11/2025,Monitor,Accessories,West,10,24262
8/15/2025,Tablet,Electronics,North,4,17581
4/22/2025,Headphones,Electronics,East,4,35447
4/9/2025,Mouse,Accessories,North,7,10096
6/2/2025,Webcam,Peripherals,North,1,38519
12/15/2025,Headphones,Electronics,East,12,42503
12/4/2025,Mouse,Peripherals,East,13,18813
7/13/2025,Keyboard,Accessories,East,10,48139
11/6/2025,Speaker,Accessories,North,15,1513
6/12/2025,Printer,Electronics,North,13,49878
7/27/2025,Printer,Accessories,East,9,24205
6/18/2025,Webcam,Electronics,West,9,2328
6/10/2025,Tablet,Accessories,West,15,8409
3/9/2025,Monitor,Accessories,South,10,38856
10/16/2025,Tablet,Electronics,East,10,13609
10/4/2025,Monitor,Electronics,South,8,2523
10/31/2025,Tablet,Electronics,West,16,15037
5/15/2025,Speaker,Accessories,South,17,27161
7/14/2025,Keyboard,Accessories,East,5,39159
5/8/2025,Keyboard,Peripherals,East,4,
2/2/2025,Mouse,Electronics,East,18,38304
6/25/2025,Charger,Accessories,North,19,15879
1/22/2025,Keyboard,Accessories,South,4,28266
8/26/2025,Keyboard,Electronics,West,7,44090
6/7/2025,Headphones,Peripherals,West,10,3063
2/7/2025,Headphones,Electronics,West,18,36560
8/18/2025,Mouse,Peripherals,North,19,29697
12/31/2025,Charger,Accessories,North,4,4086
2/20/2025,Webcam,Peripherals,East,10,16587
9/21/2025,Headphones,Accessories,West,1,49368
10/10/2025,Webcam,Electronics,North,18,23725
1/27/2025,Laptop,Electronics,East,5,30250
8/14/2025,Headphones,Electronics,West,15,7143
10/4/2025,Speaker,Peripherals,South,17,28023
10/13/2025,Charger,Accessories,East,3,37227
4/7/2025,Mouse,Electronics,North,12,11505
10/11/2025,Laptop,Electronics,North,2,44043
11/13/2025,Charger,Accessories,East,1,661
10/31/2025,Speaker,Electronics,East,17,16529
5/27/2025,Charger,Accessories,North,16,14726
1/4/2025,Speaker,Accessories,South,5,29231
2/4/2025,Speaker,Accessories,West,15,44422
7/11/2025,Webcam,Accessories,South,3,45348
2/18/2025,Tablet,Accessories,East,7,3890
1/17/2025,Laptop,Peripherals,South,11,6497
6/21/2025,Charger,Electronics,North,10,13193
8/8/2025,Monitor,Peripherals,East,9,42592
6/7/2025,Laptop,Electronics,West,14,1041
2/15/2025,Tablet,Peripherals,North,13,
1/6/2025,Laptop,Accessories,North,2,
4/9/2025,Keyboard,Electronics,West,3,13928
8/21/2025,Monitor,Electronics,West,7,44434
2/6/2025,Tablet,Peripherals,South,18,49331
10/7/2025,Webcam,Peripherals,East,3,10758
12/15/2025,Charger,Electronics,West,10,16544
10/29/2025,Printer,Peripherals,West,7,29911
6/30/2025,Tablet,Peripherals,East,9,5969
4/5/2025,Mouse,Peripherals,West,17,29354
4/9/2025,Charger,Accessories,West,11,6756
7/7/2025,Tablet,Accessories,South,7,11220
4/26/2025,Keyboard,Peripherals,North,14,34437
7/10/2025,Printer,Peripherals,North,19,34098
9/10/2025,Keyboard,Accessories,North,4,
6/10/2025,Printer,Accessories,North,6,19694
9/13/2025,Mouse,Electronics,West,10,25551
11/19/2025,Charger,Electronics,East,7,27886
5/8/2025,Webcam,Accessories,East,13,10018
1/18/2025,Keyboard,Peripherals,South,14,46526
10/8/2025,Keyboard,Peripherals,South,4,16684
8/11/2025,Speaker,Peripherals,West,8,34287
2/23/2025,Printer,Peripherals,East,5,22121
2/27/2025,Headphones,Electronics,East,1,10528
11/19/2025,Charger,Accessories,North,4,12948
12/26/2025,Printer,Peripherals,West,3,45753
6/23/2025,Speaker,Electronics,West,9,34551
10/7/2025,Laptop,Peripherals,North,8,30947
4/24/2025,Printer,Accessories,West,1,18894
10/15/2025,Webcam,Electronics,West,6,35001
12/8/2025,Charger,Accessories,South,9,30754
5/31/2025,Speaker,Accessories,East,7,19009
5/7/2025,Laptop,Electronics,West,4,49498
6/4/2025,Monitor,Electronics,South,13,14972
9/30/2025,Speaker,Electronics,East,17,46157
4/14/2025,Monitor,Electronics,North,2,3971
10/26/2025,Charger,Electronics,South,5,42296
9/3/2025,Keyboard,Electronics,South,12,30768
6/25/2025,Speaker,Electronics,East,8,8829
2/8/2025,Mouse,Peripherals,North,6,35365
6/19/2025,Monitor,Accessories,South,8,47350
9/4/2025,Webcam,Electronics,West,18,47198
1/26/2025,Mouse,Peripherals,West,3,28772
12/21/2025,Tablet,Peripherals,West,12,43345
11/2/2025,Tablet,Peripherals,North,3,6897
1/13/2025,Laptop,Accessories,South,6,32873
11/12/2025,Keyboard,Electronics,West,2,36025
11/9/2025,Charger,Peripherals,North,12,25070
2/5/2025,Speaker,Accessories,West,2,18784
6/22/2025,Headphones,Accessories,East,6,19494
1/20/2025,Webcam,Accessories,South,17,23784
11/17/2025,Monitor,Peripherals,South,3,18333
9/21/2025,Charger,Electronics,North,2,25622
5/22/2025,Mouse,Peripherals,North,8,5517
5/23/2025,Tablet,Peripherals,South,12,16870
4/2/2025,Webcam,Electronics,West,4,29752
12/20/2025,Headphones,Electronics,West,5,8499
11/18/2025,Speaker,Electronics,East,13,22936
10/15/2025,Laptop,Accessories,West,15,43463
8/3/2025,Headphones,Electronics,North,16,2596
12/8/2025,Webcam,Peripherals,North,10,48701
2/20/2025,Headphones,Electronics,West,16,25779
6/2/2025,Webcam,Peripherals,North,12,43863
7/5/2025,Webcam,Accessories,South,17,49209
3/4/2025,Printer,Peripherals,South,16,26701
7/9/2025,Monitor,Peripherals,West,12,20215
5/5/2025,Tablet,Electronics,South,8,29809
5/30/2025,Printer,Electronics,South,3,15578
11/10/2025,Speaker,Peripherals,East,16,5605
2/27/2025,Printer,Electronics,East,13,29812
12/8/2025,Keyboard,Accessories,South,19,3339
11/1/2025,Keyboard,Accessories,West,8,3884
6/29/2025,Tablet,Electronics,East,5,
6/19/2025,Headphones,Accessories,North,8,43321
11/22/2025,Monitor,Electronics,North,12,13993
9/28/2025,Tablet,Peripherals,North,1,17569
2/23/2025,Webcam,Peripherals,West,6,47407
4/11/2025,Mouse,Accessories,South,18,8031
9/21/2025,Monitor,Electronics,North,8,37551
2/22/2025,Monitor,Electronics,West,7,8236
3/1/2025,Webcam,Accessories,East,1,8210
4/18/2025,Webcam,Peripherals,South,16,2119
1/5/2025,Laptop,Accessories,East,12,14475
4/13/2025,Tablet,Peripherals,West,6,46103
7/15/2025,Webcam,Electronics,North,2,23752
9/19/2025,Keyboard,Peripherals,North,14,15761
12/31/2025,Speaker,Accessories,West,4,1931
12/16/2025,Mouse,Electronics,North,1,9567
2/16/2025,Tablet,Accessories,South,18,
12/21/2025,Charger,Accessories,West,13,27537
11/7/2025,Keyboard,Peripherals,East,2,10057
11/4/2025,Headphones,Accessories,West,9,9935
5/24/2025,Webcam,Peripherals,South,2,38266
9/26/2025,Charger,Electronics,South,9,662
5/4/2025,Webcam,Peripherals,West,1,35242
4/16/2025,Monitor,Electronics,West,11,20175
6/7/2025,Keyboard,Peripherals,North,3,8961
5/27/2025,Monitor,Accessories,South,4,17515
5/25/2025,Laptop,Peripherals,West,18,33091
4/30/2025,Monitor,Peripherals,West,6,28547
11/15/2025,Laptop,Electronics,South,3,35282
10/2/2025,Laptop,Accessories,West,11,10333
4/2/2025,Charger,Peripherals,North,15,8396
2/27/2025,Webcam,Accessories,South,5,33472
12/12/2025,Headphones,Peripherals,North,10,42300
8/17/2025,Monitor,Peripherals,North,12,31008
4/27/2025,Keyboard,Accessories,North,15,5847
11/14/2025,Laptop,Peripherals,North,17,30814
10/6/2025,Webcam,Accessories,South,10,3143
5/7/2025,Mouse,Peripherals,North,6,
5/9/2025,Tablet,Electronics,North,18,19181
2/27/2025,Charger,Accessories,West,13,38828
5/2/2025,Headphones,Peripherals,South,3,16392
1/1/2025,Printer,Peripherals,South,10,47799
8/27/2025,Charger,Electronics,East,14,17573
10/17/2025,Mouse,Accessories,South,6,37268
4/6/2025,Tablet,Peripherals,South,3,31182
5/6/2025,Mouse,Electronics,East,16,32762
4/28/2025,Monitor,Peripherals,South,7,31858
2/17/2025,Laptop,Accessories,South,14,14789
3/30/2025,Headphones,Peripherals,South,9,8427
8/25/2025,Speaker,Peripherals,South,15,48830
9/29/2025,Laptop,Peripherals,East,3,1671
7/8/2025,Speaker,Peripherals,South,2,12418
7/11/2025,Tablet,Electronics,South,2,42403
3/10/2025,Webcam,Electronics,East,3,39610
10/5/2025,Printer,Accessories,West,18,12429
12/15/2025,Keyboard,Electronics,North,14,3039
9/4/2025,Laptop,Electronics,West,18,37227
3/17/2025,Headphones,Accessories,East,10,46451
6/3/2025,Mouse,Electronics,North,2,23169
5/24/2025,Headphones,Electronics,East,1,5932
3/27/2025,Tablet,Accessories,East,4,21144
7/4/2025,Speaker,Accessories,South,14,19245
10/12/2025,Mouse,Accessories,North,1,28728
8/8/2025,Keyboard,Peripherals,South,14,35021
3/10/2025,Keyboard,Peripherals,North,16,32203
2/16/2025,Laptop,Accessories,East,14,27428
4/4/2025,Tablet,Accessories,East,3,18822
8/26/2025,Webcam,Accessories,West,3,22860
7/23/2025,Tablet,Peripherals,North,9,29555
8/6/2025,Speaker,Peripherals,South,6,43391
12/7/2025,Headphones,Electronics,West,13,16876
2/8/2025,Keyboard,Electronics,West,2,7088
4/10/2025,Headphones,Accessories,West,8,25500
10/16/2025,Headphones,Peripherals,South,2,6804
9/11/2025,Headphones,Peripherals,West,4,7845
8/10/2025,Keyboard,Peripherals,South,15,29800
12/23/2025,Charger,Accessories,West,4,24759
1/23/2025,Monitor,Electronics,South,13,25970
9/7/2025,Speaker,Accessories,East,12,23517
1/10/2025,Charger,Electronics,East,13,15852
9/3/2025,Speaker,Electronics,East,14,33865
11/21/2025,Mouse,Accessories,East,18,19946
4/10/2025,Tablet,Electronics,East,6,2836
10/17/2025,Tablet,Electronics,West,11,
6/29/2025,Printer,Peripherals,West,2,32816
8/11/2025,Tablet,Electronics,West,19,
9/7/2025,Keyboard,Accessories,South,19,8021
5/27/2025,Webcam,Accessories,South,5,
4/6/2025,Laptop,Electronics,South,19,23981
9/14/2025,Printer,Peripherals,South,2,18974
11/21/2025,Laptop,Peripherals,East,10,47260
1/4/2025,Speaker,Electronics,East,2,45129
1/16/2025,Laptop,Electronics,East,11,45732
10/7/2025,Laptop,Accessories,North,18,21508
12/2/2025,Printer,Electronics,West,15,2133
8/25/2025,Speaker,Peripherals,South,15,48830
9/24/2025,Speaker,Electronics,West,4,43315
6/12/2025,Printer,Electronics,North,13,49878
4/18/2025,Speaker,Accessories,West,12,17653
4/16/2025,Monitor,Electronics,West,11,20175
9/3/2025,Keyboard,Electronics,South,12,30768
2/13/2025,Charger,Accessories,North,8,34048
12/15/2025,Keyboard,Electronics,North,14,3039
12/8/2025,Keyboard,Accessories,South,19,3339
11/21/2025,Laptop,Peripherals,East,10,47260
